x positions (m)	Enthalpy values (J/kg)	Velocity values (m/s)	Density values (kg/m^3)	Pressure (Pa)	Temperature (K)	Mach number values
-0.00415	6589584.5380385285	1110.8205879659868	2.473236629112176	3204167.188862239	4218.1810153379665	0.887783522260588
-0.004	6582507.970089816	1117.1730011714956	2.4623129251079	3187091.7953083324	4214.881783798354	0.8932754911763946
-0.00385	6575431.402141102	1123.4894972557395	2.4514236810571908	3170088.098855362	4211.581893863464	0.898744065327969
-0.0037	6568354.834192389	1129.770678651814	2.440568168984556	3153154.3288963647	4208.281343283731	0.904189946290171
-0.0037	6561278.266243676	1136.0171311379095	2.429746949107478	3136291.707442291	4204.9801964065955	0.909613264861879
-0.00355	6554201.698294963	1142.2294244748873	2.418959433133738	3119499.018070817	4201.678495869966	0.9150148089107825
-0.0034	6547125.130346249	1148.4081130128175	2.408205423534416	3102776.2482257434	4198.376224563789	0.9203946054442501
-0.00325	6540048.562397536	1154.5537362682976	2.397485314868631	3086123.749629989	4195.0735393057785	0.925753324079075
-0.0031	6532971.994448823	1160.6668194742674	2.3867988291431863	3069540.4874725747	4191.770289002466	0.9310913887606397
-0.00295	6525895.426500109	1166.747874103887	2.376145679102696	3053026.229936462	4188.46678724637	0.9364090723801021
-0.0028	6518818.858551396	1172.797398369968	2.365525881329411	3036581.453345603	4185.162753224236	0.9417066939913962
-0.00265	6511742.290602683	1178.8158777013446	2.3549393547271444	3020204.9997295453	4181.858385090696	0.9469848563233686
-0.0025	6504665.72265397	1184.8037851974552	2.344386034043948	3003897.564555844	4178.553725697549	0.952243629547845
-0.00235	6497589.154705256	1190.7615820623562	2.3338658151840757	2987658.4248763076	4175.248836243763	0.9574835687450092
-0.00235	6490512.586756543	1196.689718019283	2.3233784284185437	2971487.168292343	4171.943535878838	0.9627049828490402
-0.0022	6483436.01880783	1202.5886317068264	2.31292390525163	2955383.558124713	4168.638149042095	0.9679082222336194
