x positions (m)	Enthalpy values (J/kg)	Velocity values (m/s)	Density values (kg/m^3)	Pressure (Pa)	Temperature (K)	Mach number values
-0.01225	5693171.1246168325	1739.7555016416798	1.3394958465271092	1539858.2352565406	3803.9367208971153	1.4818609770669269
-0.01225	6903870.80681383	778.0423131800086	2.9948523262711095	4038621.5892982245	4363.500406012847	0.6094230738236797
-0.0124	5678758.033162106	1748.0204199041686	1.3251508123228521	1520369.4403628116	3797.4325584590806	1.4905330537371193
-0.01255	5671551.487434743	1752.1382593439	1.3180218893101636	1510700.6704990908	3794.1828726677477	1.4948640956092991
-0.0127	5657138.395980017	1760.3450408275428	1.3038509706813488	1491513.4440558045	3787.688336913384	1.5035166547652277
-0.01285	5649931.8502526535	1764.4341172797726	1.2968088289132484	1481994.6718724451	3784.443486211677	1.5078382149496317
-0.013	6925490.443995919	749.7403328715346	3.033518705070507	4101854.9784921794	4373.375452482938	0.5864592759379814
-0.01315	5628312.213070564	1776.6448797058545	1.2758553246572302	1453735.6152328197	3774.7186568500942	1.520784670845823
-0.0133	5613899.121615838	1784.73897573132	1.2620298123560014	1435142.222200552	3768.2434635062573	1.529400878055046
-0.01345	5599486.030161113	1792.7965290026452	1.2483186285514236	1416744.0088582765	3761.7747488752325	1.538005678575879
-0.0136	5592279.48443375	1796.8117558215881	1.2415057614022038	1407617.6091321683	3758.542814588066	1.5423039912698635
-0.0139	5570659.84725166	1808.803958482742	1.2212372649960805	1380527.3799444814	3748.856620799088	1.5551829868600056
-0.0142	5549040.210069571	1820.7171758916913	1.2012230824473198	1353866.9878496442	3739.184914401237	1.5680387252520518
-0.0145	5527420.572887481	1832.552948471393	1.1814615105976762	1327631.4963285476	3729.5274920110887	1.5808727359741603
-0.0148	5505800.935705392	1844.3127672158469	1.1619510576806513	1301816.3880416874	3719.8842900672644	1.5936859053754622
-0.0148	6968729.718360097	689.6607992382657	3.1119951313340644	4230732.334248884	4393.069177961601	0.5380083171459178
-0.01495	5491387.844250666	1852.1111646509844	1.1490827661724483	1284837.4544531673	3713.4632961423727	1.6022171019026392
-0.01525	5469768.2070685765	1863.7475796333056	1.1299873540918	1259712.4155361399	3703.8433875694514	1.6149982010954074
-0.0154	5462561.661341214	1867.6102730612001	1.1236771716586518	1251428.2653381294	3700.6398294435053	1.6192544459859468
-0.0154	6983142.809814824	668.4353634395102	3.1384961864182688	4274414.602587069	4399.616773388341	0.5209821764154788
-0.01555	5448148.569886487	1875.311791397149	1.1111388148002495	1234995.1732281863	3694.2372387559763	1.627761243870924
-0.0157	5440942.024159124	1879.1507141280365	1.1049105342544074	1226845.8967399371	3691.0381757269483	1.632011875459415
-0.0157	6990349.355542187	657.565771342901	3.1518115855527666	4296393.462503973	4402.887507460237	0.5122804670274982
-0.016	5419322.386977036	1890.62071309189	1.086388656620447	1202665.12450368	3681.4498902198143	1.6447527205859809
-0.0163	5397702.749794946	1902.0215443407221	1.0681098228454746	1178881.2238287316	3671.8746317011323	1.657477975356987
-0.01645	7004762.446996912	635.2688885285766	3.1785728932793607	4340627.366773094	4409.422413182253	0.4944664345010561
-0.01675	5361670.021158131	1920.872565374886	1.038180786146732	1140110.7469671397	3655.943947263241	1.678654571696782
-0.0169	5354463.475430768	1924.6206129688578	1.0322748300324487	1132485.577722243	3652.7618937275574	1.6828852990048517
-0.01705	5340050.383976041	1932.0948959029097	1.0205420700507917	1117362.6028230889	3646.4017109292417	1.6913426470887472
